HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"2","2",1,2003-11-20,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"3","3",1,2004-01-29,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"4","4",1,2004-01-29,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"6","6",1,2004-01-30,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"7","7",1,2004-01-30,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"8","8",2,2004-02-23,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"9","9",1,2001-10-01,,2023-09-30 23:23:54,2023-12-13 12:44:52,"27",,"42412"
"10","10",1,2002-11-01,,2023-09-30 23:23:54,2023-12-17 22:24:01,"27",,"42412"
"12","12",1,2004-06-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"13","13",1,2004-09-09,2022-06-30,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"15","15",1,2004-09-21,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"16","16",1,2004-09-22,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"17","17",2,2004-09-22,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"20","20",1,2004-09-29,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"21","21",1,2004-10-08,2022-09-30,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"23","23",1,1997-01-01,,2023-09-30 23:23:54,2023-12-17 22:41:32,"27",,"42412"
"26","26",1,2004-06-01,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"27","27",1,2004-11-08,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"28","28",1,2004-11-08,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"29","29",1,2004-10-15,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"30","30",1,2004-11-08,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"32","32",1,2004-11-22,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"33","33",1,2004-11-24,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"34","34",2,2004-12-09,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"35","35",1,2004-12-09,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"36","36",1,2004-12-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"38","38",1,2004-12-16,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"39","39",1,2004-12-30,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"40","40",1,2001-04-06,,2023-09-30 23:23:54,2023-12-17 22:47:59,"27",,"42412"
"41","41",1,2005-01-20,,2023-09-30 23:23:54,2023-09-30 23:23:54,"1",,"42412"
"42","42",1,2003-11-01,2022-06-01,2023-09-30 23:23:54,2023-12-17 22:15:51,"27",,"42412"
