InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1","2","OH-507",1,,14,14,,,,,,,14,,2015-02-01,2016-09-30,2021-06-14 09:34:03,2021-07-07 15:36:24,"28",,"42412"
"13","2","OH-507",3,,45,120,,,,,,,120,,2016-01-01,2016-09-30,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"18","2","OH-507",3,,45,93,,,,,,93,,,2016-10-01,2019-06-30,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"23","2","OH-507",3,,37,109,,,,,,,109,,2012-10-01,2015-01-31,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"26","2","OH-507",3,,45,98,,,,,,,98,,2015-02-01,2015-12-31,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"31","2","OH-507",1,,30,30,,,,,,,30,,2012-10-01,2015-01-31,2021-06-14 09:34:03,2021-07-07 15:36:17,"28",,"42412"
"35","2","OH-507",1,,14,14,,,,,,14,,,2016-10-01,2019-06-30,2021-06-14 09:34:03,2021-07-07 15:06:55,"28",,"42412"
"39","2","OH-507",3,,53,113,,,,,,,113,,2019-07-01,,2021-06-14 09:34:03,2022-01-27 15:33:14,"424",,"42412"
"42","2","OH-507",1,,26,26,,,,,,,26,,2019-07-01,,2021-06-14 09:34:03,2022-01-27 15:33:25,"424",,"42412"
"6","3","OH-507",1,1,4,4,,,,,,,4,1,2011-01-01,,2021-06-14 09:34:03,2021-07-20 22:22:35,"30",,"42412"
"11","3","OH-507",3,1,3,9,,,,,,,9,1,2011-01-01,,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"17","4","OH-507",1,,17,17,,,,,,17,,,1996-11-01,,2021-06-14 09:34:03,2021-07-20 22:24:11,"30",,"42412"
"38","6","OH-507",1,1,45,45,,,,,,,45,1,2011-01-01,,2021-06-14 09:34:03,2024-04-23 16:03:11,"424",,"42412"
"4","7","OH-507",1,,12,14,,,,,,,14,,2011-01-01,2016-09-30,2021-06-14 09:34:03,2021-07-21 11:59:50,"28",,"42412"
"44","7","OH-507",1,,5,5,,,,,,5,,,2018-03-01,,2021-06-14 09:34:03,2021-07-21 11:59:54,"28",,"42412"
"47","7","OH-507",1,,10,10,,,,,,,10,,2016-10-01,2018-02-28,2021-06-14 09:34:03,2021-07-21 12:00:00,"28",,"42412"
"9","8","OH-507",1,,6,6,,,,,,,6,,2017-10-01,,2021-06-14 09:34:03,2021-08-08 12:04:25,"26",,"42412"
"14","8","OH-507",1,,4,4,,,,,,,4,,2012-10-01,2017-09-30,2021-06-14 09:34:03,2021-08-08 12:04:31,"26",,"42412"
"20","8","OH-507",3,,4,11,,,,,,,11,,2012-10-01,2017-09-30,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"25","8","OH-507",3,,7,19,,,,,,,19,,2017-10-01,,2021-06-14 09:34:03,2021-06-14 09:34:03,"5",,"42412"
"30","9","OH-507",1,,7,7,,,,,,7,,,2018-10-01,2020-03-31,2021-06-14 09:34:03,2021-08-07 14:10:41,"26",,"42412"
"37","9","OH-507",1,,6,6,,,,,,6,,,2020-04-01,,2021-06-14 09:34:03,2021-08-07 14:10:47,"26",,"42412"
"43","9","OH-507",1,,7,7,,,,,,,7,,2013-02-12,2014-06-30,2021-06-14 09:34:03,2021-08-07 14:10:54,"26",,"42412"
"46","9","OH-507",1,,8,8,,,,,,,8,,2014-07-01,2018-09-30,2021-06-14 09:34:03,2021-08-07 14:11:00,"26",,"42412"
