OrganizationID,OrganizationName,VictimServiceProvider,OrganizationCommonName,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"2","Coleman Professional Services",0,"",2013-01-16 10:52:35,2023-10-01 10:35:22,"27",,"42412"
"3","Columbiana County Mental Health Clinic",0,"",2004-02-25 13:50:06,2023-10-01 10:35:49,"27",,"42412"
"4","LSS Faith Mission of Fairfield County",0,"",2010-01-28 11:37:34,2023-10-01 11:26:47,"605",,"42412"
"5","Family Violence Prevention Center of Greene County, Inc.",1,"",2004-02-23 10:24:20,2021-11-03 09:42:00,"27",,"42412"
"6","Community Action Commission of Fayette County",0,"",2019-06-21 11:39:38,2023-10-01 11:27:10,"605",,"42412"
"7","Licking County Coalition for Housing",0,"LCCH",2012-12-14 15:48:40,2023-10-01 11:27:30,"605",,"42412"
"8","Transitional Living, Inc.",0,"",2013-11-13 14:23:25,2023-10-01 11:28:01,"605",,"42412"
"9","Great Lakes Community Action Partnership",0,"GLCAP",2019-12-02 11:35:13,2023-10-01 11:28:21,"605",,"42412"
"10","Warren Metropolitan Housing Authority",0,"",2018-09-04 15:04:30,2023-10-01 11:28:39,"605",,"42412"
"11","Northwestern Ohio Community Action Commission, Inc.",0,"",2020-10-09 22:08:50,2023-10-01 11:29:18,"605",,"42412"
"12","Appleseed Community Mental Health Center",0,"",2014-06-05 09:36:55,2023-10-01 11:29:35,"605",,"42412"
"13","Community Action Agency of Columbiana County",0,"",2014-04-29 13:57:14,2023-10-01 11:29:53,"605",,"42412"
"14","Mental Health & Recovery Board of Union County",0,"",2010-07-29 09:36:17,2023-10-01 11:30:14,"605",,"42412"
"16","Family Abuse Shelter of Miami County Inc.",0,"",2020-08-13 17:31:01,2023-10-01 11:30:30,"605",,"42412"
"17","Pickaway County Community Action Organization, Inc.",0,"",2019-06-21 11:48:45,2023-10-01 11:30:46,"605",,"42412"
"18","Ashtabula County Mental Health and Recovery Services Board",0,"",2005-04-13 15:13:18,2023-10-01 11:31:04,"605",,"42412"
"19","Ironton Lawrence County Area CAO, Inc.",0,"",2019-06-19 08:48:13,2023-10-01 11:31:27,"605",,"42412"
"20","Behavioral Healthcare Partners of Central Ohio",0,"",2020-08-03 18:31:31,2023-10-01 11:31:47,"605",,"42412"
"21","Sheltered, Inc.",0,"",2020-05-05 16:45:29,2023-10-01 11:32:50,"605",,"42412"
"22","Trumbull County Mental Health and Recovery Board",0,"",2014-12-03 16:36:02,2023-10-01 11:33:06,"605",,"42412"
"23","Catholic Charities Diocese of Toledo",0,"",2012-12-27 09:13:32,2023-10-01 11:33:43,"605",,"42412"
"26","HM Housing Development Corp.",0,"",2020-09-21 15:37:23,2023-10-01 11:34:01,"605",,"42412"
"27","Residential Administrators, Inc.",0,"",2014-05-08 14:20:16,2023-10-01 11:34:20,"605",,"42412"
"28","Ottawa County Transitional Housing, Inc.",0,"",2004-12-16 13:44:22,2023-10-01 11:34:37,"605",,"42412"
"29","Athens MHA",0,"",2005-02-25 12:57:01,2023-10-01 11:34:54,"605",,"42412"
"31","New Sunrise Properties",0,"",2005-04-13 12:44:25,2023-10-01 11:35:09,"605",,"42412"
"32","Portage Metropolitan Housing Authority",0,"",2013-01-03 13:10:09,2023-10-01 11:35:33,"605",,"42412"
"33","Jefferson County CAC",0,"",2012-12-14 14:38:13,2023-10-01 11:35:46,"605",,"42412"
"34","Wayfinders Ohio, Inc.",0,"Harmony House",2019-12-19 12:31:12,2023-10-01 11:36:07,"605",,"42412"
"35","Volunteers of America Ohio and Indiana",0,"",2017-10-03 13:55:56,2023-10-01 11:36:24,"605",,"42412"
"36","YWCA of Elyria",0,"",2005-08-11 08:37:57,2023-10-01 11:36:41,"605",,"42412"
"37","Washington - Morgan Counties CAP",0,"",2012-12-28 12:35:11,2023-10-01 11:36:58,"605",,"42412"
"38","Liberty Center of Sandusky County, Inc.",0,"",2005-04-29 09:35:47,2023-10-01 11:37:25,"605",,"42412"
"39","Scioto Christian Ministries",0,"",2012-12-28 13:08:02,2023-10-01 11:37:39,"605",,"42412"
"40","Greater Cincinnati Behavioral Health Services",0,"",2008-01-14 11:27:48,2023-10-01 11:37:55,"605",,"42412"
"41","The Salvation Army of Belmont County",0,"",2005-04-29 13:03:22,2023-10-01 11:38:13,"605",,"42412"
"42","Clinton County Services for the Homeless, Inc.",0,"",2012-12-27 15:55:10,2023-10-01 11:38:28,"605",,"42412"
"43","Lima's Samaritan House, Inc.",0,"",2019-06-19 16:56:28,2023-10-01 11:38:44,"605",,"42412"
"44","Marion Shelter Program, Inc.",0,"",2005-05-06 08:15:42,2023-10-01 11:38:57,"605",,"42412"
"45","Licking - The Salvation Army",0,"",2019-06-21 13:05:48,2023-10-01 11:39:26,"605",,"42412"
"46","The Salvation Army of Zanesville",0,"",2005-05-05 10:15:15,2023-10-01 11:39:40,"605",,"42412"
"48","Extended Housing, Inc.",0,"",2013-11-15 14:29:01,2023-10-01 11:39:54,"605",,"42412"
"49","Ecumenical Shelter Network of Lake County, Inc.",0,"",2005-05-09 11:10:10,2023-10-01 11:40:12,"605",,"42412"
"50","Kno-Ho-Co-Ashland Community Action Commission",0,"",2012-12-28 15:24:02,2023-10-01 11:40:25,"605",,"42412"
"51","Adams County Shelter for the Homeless, Inc.",0,"",2017-12-05 13:28:00,2023-10-01 11:42:27,"605",,"42412"
"52","Greater Youngstown-Warren Urban League",0,"",2005-06-30 08:54:53,2023-10-01 11:42:40,"605",,"42412"
"53","Caring Kitchen, Inc.",0,"",2020-05-01 14:51:08,2023-10-01 11:42:53,"605",,"42412"
"54","Safe on Main",0,"",2018-02-16 13:00:34,2023-11-13 10:56:13,"27",,"42412"
"55","Family Promise of Warren County",0,"",2018-10-24 15:45:00,2023-10-01 11:43:08,"605",,"42412"
"56","Good Works, Inc.",0,"",2005-06-07 15:53:36,2021-11-03 09:44:58,"27",,"42412"
"57","Salvation Army of Wooster",0,"",2019-06-19 09:25:15,2023-10-01 11:43:22,"605",,"42412"
"58","Ashtabula Homeless Shelter, Inc.",0,"",2005-06-21 13:23:50,2023-10-01 11:43:35,"605",,"42412"
"59","Community Action Program Commission of the Lancaster Fairfield County Area",0,"",2005-08-16 13:38:25,2023-10-01 11:43:49,"605",,"42412"
"60","Neighborhood Alliance",0,"",2021-01-26 11:52:56,2023-10-01 11:44:04,"605",,"42412"
"61","Pike County Outreach Council of Churches, Inc.",0,"",2005-06-13 10:21:50,2023-10-01 11:44:18,"605",,"42412"
"62","CAC of Erie, Huron & Richland Counties, Inc.",0,"",2019-06-18 12:44:10,2023-10-01 11:44:31,"605",,"42412"
"63","Hope House Rescue Mission, Inc.",0,"",2015-09-28 14:38:44,2023-10-01 11:44:45,"605",,"42412"
"64","Serve City Inc.",0,"",2005-09-26 13:15:24,2023-10-01 11:45:00,"605",,"42412"
"65","Highland County Homeless Shelter",0,"",2019-06-21 11:40:32,2023-10-01 11:45:15,"605",,"42412"
"66","Nord Center, Inc.",0,"",2019-01-29 16:52:05,2023-10-01 11:45:30,"605",,"42412"
"67","Clermont County Community Services, Inc.",0,"",2021-01-20 10:06:42,2023-10-01 11:45:45,"605",,"42412"
"68","Community Housing of Darke, Miami and Shelby Counties, Inc.",0,"",2018-02-13 09:07:28,2021-11-03 09:37:48,"27",,"42412"
"69","The Urban Mission Ministries, Inc.",0,"",2019-06-21 12:37:24,2023-10-01 11:45:59,"605",,"42412"
"70","Home is the Foundation",0,"",2021-01-26 11:40:21,2023-10-01 11:46:11,"605",,"42412"
"72","The Salvation Army Columbus Area Services",0,"",2020-10-19 10:21:43,2023-10-01 11:46:34,"605",,"42412"
"73","Ohio Heartland Community Action Commission",0,"",2012-12-27 09:34:54,2023-10-01 11:47:15,"605",,"42412"
"74","Friends of the Homeless, Tuscarawas County",0,"",2019-07-15 16:48:04,2023-10-01 11:47:28,"605",,"42412"
"75","Findlay Hope House for the Homeless, Inc.",0,"",2012-12-27 13:17:55,2023-10-01 11:47:47,"605",,"42412"
