ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,RRHSubType,ResidentialAffiliation,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"12","2","Portage - Coleman Professional Services and Portage MHA - PSH","",2004-06-21,,1,3,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 12:32:50,"605",,"42412"
"135","2","Portage - Coleman Professional Services - PSH","Portage Coleman PSH",2003-05-18,,1,3,1,,,4,2,,2021-06-01 00:00:00,2023-12-17 22:21:38,"27",,"42412"
"155","2","Jefferson - Coleman Professional Services - Shelter Plus Care - PSH","Jefferson County Shelter Plus Care",2004-07-01,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-12-17 22:23:09,"27",,"42412"
"206","2","Portage - Coleman Professional Services - HCRP RRH","",2012-12-21,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-01 11:48:47,"30",,"42412"
"299","2","Trumbull - City of Warren - Coleman Professional - Washington St - tracking only","Trumbull Washington St.",2013-01-16,,0,7,,,,4,2,,2021-06-01 00:00:00,2023-10-01 15:51:36,"605",,"42412"
"495","2","Jefferson - Coleman Professional Services - Beacon House Drop-In Center - SSO","",2016-12-20,,1,6,,,0,4,2,,2021-06-01 00:00:00,2023-10-04 15:22:56,"227",,"42412"
"973","2","Jefferson - Coleman Professional Services - Beacon House - PSH","",2021-01-01,,1,3,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 12:38:38,"605",,"42412"
"1245","2","Belmont - Coleman Professional Services - Rural Street Outreach","",2023-12-18,,1,4,,,,4,2,,2024-04-18 17:51:04,2024-05-01 18:11:34,"227",,"42412"
"1246","2","Belmont - Coleman Professional Services - Rural Services Only","",2023-12-18,,1,6,,,0,4,2,,2024-04-18 18:05:00,2024-05-01 18:10:11,"227",,"42412"
"10","3","Columbiana - Columbiana County MHC - Permanent Housing for persons with disabilities - PSH","Columbiana Permanent Housing PSH",2002-11-01,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-12-17 22:23:54,"27",,"42412"
"105","3","Columbiana - Columbiana County MHC - Adult Youth Mentor Program - PSH","Columbiana Adult/Young Adult Mentor Program",2007-12-18,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:09:17,"605",,"42412"
"297","3","Columbiana - Columbiana County MHC - Kendall Home - ES","Columbiana Kendall Home",2013-01-11,,1,0,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 15:55:29,"605",,"42412"
"337","3","zzColumbiana - Columbiana MHC - Hand in Hand Outreach House - ES","Columbiana Hand in Hand Outreach House",2013-11-13,2023-12-31,1,0,1,,,4,2,,2021-06-01 00:00:00,2024-01-18 10:13:46,"27",,"42412"
"450","3","Columbiana - Columbiana County MHC - Hornsby House - PSH","Columbiana Hornsby House PSH",2015-01-01,,1,3,2,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:10:14,"605",,"42412"
"6","4","Fairfield - LSS of Fairfield County - Faith Mission - ES","Fairfield County Emergency Shelter",2004-01-30,,1,0,1,,,4,2,,2021-06-01 00:00:00,2024-04-23 16:02:52,"424",,"42412"
"7","4","Fairfield - LSS of Fairfield County - Fairhaven Place - PSH","Fairfield Fairhaven Place",2004-01-30,,1,3,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:13:10,"605",,"42412"
"131","4","Fairfield - LSS of Fairfield County - Shelter Plus Care for Singles - PSH","Fairfield County Shelter Plus Care for Singles",2010-01-28,,1,3,3,,,4,2,,2021-06-01 00:00:00,2024-03-13 12:07:47,"30",,"42412"
"132","4","Fairfield - LSS of Fairfield County - HCHV 90 Day - ES - VET","Fairfield HCHV/ES",2010-04-21,,1,0,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 16:00:44,"605",,"42412"
"172","4","Fairfield - LSS of Fairfield County - Art Kiefer Veterans House - GPD - TH - VET","Fairfield Art Keifer Veterans House GPD",2012-01-13,,1,2,1,,,4,2,,2021-06-01 00:00:00,2023-10-01 10:52:54,"27",,"42412"
"424","4","Fairfield - LSS of Fairfield County - SSVF HP","",2014-10-01,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-11-02 12:20:27,"27",,"42412"
"425","4","Fairfield - LSS of Fairfield County - SSVF RRH","Fairfield - LSS - SSVF RRH",2014-10-01,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2024-04-24 16:24:20,"424",,"42412"
"517","4","Fairfield - LSS of Fairfield County - ADAMH Housing Program - TH","Fairfield ADAMH Housing Program - TH",2016-10-01,,1,2,1,,,4,2,,2021-06-01 00:00:00,2024-03-13 12:03:51,"30",,"42412"
"578","4","Fairfield - LSS of Fairfield County - Female Sober Housing - not homeless dedicated","",2019-01-01,,0,7,,,,4,2,,2021-06-01 00:00:00,2023-10-01 15:52:22,"605",,"42412"
"579","4","Fairfield - LSS of Fairfield County - Promise House - not homeless dedicated","",2019-01-21,,0,7,,,,4,2,,2021-06-01 00:00:00,2023-10-01 15:52:59,"605",,"42412"
"1150","4","Fairfield - LSS of Fairfield County - LSS Street Outreach - SO","",2022-07-01,,1,4,,,,4,0,,2022-06-27 16:15:59,2023-10-01 10:42:35,"27",,"42412"
"8","5","Greene - Family Violence Prevention Center - Supportive Services - TH - DV","Greene Supportive Opportunities and Services",2004-02-23,,1,2,1,,,1,2,,2021-06-01 00:00:00,2023-10-09 13:04:30,"227",,"42412"
"395","5","Greene - Family Violence Prevention Center - Hagler Hall - ES - DV","Greene Hagler Hall - Emergency Shelter",2013-11-20,,1,0,1,,,1,2,,2021-06-01 00:00:00,2023-10-09 13:04:55,"227",,"42412"
"3","6","Fayette - CAC of Fayette County - Brick House - ES","Fayette Brick House",2004-01-29,,1,0,1,,,4,2,,2021-06-01 00:00:00,2023-11-01 11:36:28,"27",,"42412"
"4","6","Fayette - CAC of Fayette County - Fayette Inn - PSH","Fayette Inn",1996-11-01,,1,3,1,,,4,2,,2021-06-01 00:00:00,2023-10-31 16:31:18,"30",,"42412"
"53","6","zzFayette - CAC of Fayette County - Motel Voucher - ES","Fayette Community Action Commission of Fayette Cou",2014-01-01,2022-09-30,1,0,3,,,4,2,,2021-06-01 00:00:00,2024-06-25 14:14:34,"227",,"42412"
"144","6","Fayette - CAC of Fayette County - Shelter Plus Care - PSH","Fayette Shelter Plus Care",2011-01-19,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:18:30,"605",,"42412"
"170","6","Fayette - CAC of Fayette County - Destination HOME - PSH","Fayette CAC Permanent Supportive Housing",2011-08-10,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:19:22,"605",,"42412"
"257","6","Fayette - CAC of Fayette County - HCRP RRH","",2012-12-28,,1,13,3,2,,4,2,,2021-06-01 00:00:00,2023-10-01 11:49:51,"30",,"42412"
"259","6","Fayette - CAC of Fayette County - HCRP HP","",2012-12-28,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:17:48,"227",,"42412"
"260","6","Highland - CAC of Fayette County - HCRP HP","",2012-12-28,,1,12,,,,4,2,,2021-06-01 00:00:00,2023-10-01 11:18:28,"227",,"42412"
"514","6","Fayette - CAC of Fayette County - Fayette Landing - PSH","Fayette County Community Action - Fayette Landing",2016-10-02,,1,3,2,,,4,2,,2021-06-01 00:00:00,2023-12-17 22:28:54,"27",,"42412"
"580","6","Fayette - CAC of Fayette County - Stable Futures - PSH","",2018-12-01,,1,3,3,,,4,2,,2021-06-01 00:00:00,2023-10-01 13:21:04,"605",,"42412"
