ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"2","2","OH-507","399143","109 South Front Street",,"Fremont","OH","43420",3,2021-06-14 09:08:11,2021-06-14 09:08:11,"5",,"42412"
"3","3","OH-507","399047","1400 U.S. Route 22 NW",,"Washington Court House","OH","43160",3,2021-06-14 09:08:12,2021-06-14 09:08:12,"5",,"42412"
"4","4","OH-507","399047","1400 U.S. Route 22 NW",,"Washington Court House","OH","43160",3,2021-06-14 09:08:12,2021-06-14 09:08:12,"5",,"42412"
"6","6","OH-507","392634","1681 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:08:13,2021-06-14 09:08:13,"5",,"42412"
"7","7","OH-507","392634","1681 E. Main Street",,"Lancaster","OH","43130",3,2021-06-14 09:08:13,2021-06-14 09:08:13,"5",,"42412"
"8","8","OH-507","399057","380 Bellbrook Ave",,"Xenia","OH","45385",2,2021-06-14 09:08:14,2021-06-14 09:08:14,"5",,"42412"
"9","9","OH-507","399029","325 Moore St.",,"East Liverpool","OH","43920",2,2021-06-14 09:08:14,2021-06-14 09:08:14,"5",,"42412"
"10","10","OH-507","399029","40722 State Route 154",,"Lisbon","OH","44432",3,2021-06-14 09:08:14,2021-06-14 09:08:14,"5",,"42412"
"12","12","OH-507","392508","5982 Rhodes Rd.",,"Kent","OH","44240",2,2021-06-14 09:08:16,2021-06-14 09:08:16,"5",,"42412"
"13","13","OH-507","399165","990 E Ridge Dr",,"Lebanon","OH","45036",2,2021-06-14 09:08:17,2021-06-14 09:08:17,"5",,"42412"
"15","15","OH-507","399159","731 South Walnut Street",,"Marysville","OH","43040",3,2021-06-14 09:08:17,2021-06-14 09:08:17,"5",,"42412"
"16","16","OH-507","399109","530 Crescent Dr","","Troy","OH","45373",2,2021-06-14 09:08:18,2021-06-14 09:08:18,"5",,"42412"
"17","17","OH-507","399109","530 Crescent Dr","","Troy","OH","45373",2,2021-06-14 09:08:18,2021-06-14 09:08:18,"5",,"42412"
"20","20","OH-507","399029","7880 Lincole Pl",,"Lisbon","OH","44432",3,2021-06-14 09:08:19,2021-06-14 09:08:19,"5",,"42412"
"1104","21","OH-507","399133","705 Oakwood St","Ste. 221","Ravenna","OH","44266",2,2021-06-30 15:11:35,2021-06-30 15:11:35,"24",,"42412"
"23","23","OH-507","399055","13244 Ravenna Rd.",,"Chardon","OH","44024",2,2021-06-14 09:08:22,2021-06-14 09:08:22,"5",,"42412"
"26","26","OH-507","399133","2832 State Route 59",,"Ravenna","OH","44266",2,2021-06-14 09:08:24,2021-06-14 09:08:24,"5",,"42412"
"27","27","OH-507","399039","1939 E. Second Street",,"Defiance","OH","43512",3,2021-06-14 09:08:24,2021-06-14 09:08:24,"5",,"42412"
