YouthEducationStatusID,EnrollmentID,PersonalID,InformationDate,CurrentSchoolAttend,MostRecentEdStatus,CurrentEdStatus,DataCollectionStage,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"66652","245698","99158",2020-09-10,,99,,1,2020-09-10 11:36:59,2021-11-02 09:44:19,"420",,"42412"
"600484","245698","99158",2022-06-13,,99,,3,2022-08-08 11:16:34,2022-08-08 11:16:34,"99",,"42412"
"649878","251299","110159",2022-12-09,,99,,3,2023-01-05 08:36:41,2023-01-05 08:36:41,"99",,"42412"
"537371","346029","86662",2022-01-26,,2,,3,2022-02-03 12:34:22,2022-02-03 12:34:22,"99",,"42412"
"532796","376886","116659",2022-01-17,2,,99,3,2022-01-21 10:14:50,2022-01-21 10:14:50,"99",,"42412"
"634898","380771","119392",2022-11-01,,1,,3,2022-11-15 14:09:58,2022-11-15 14:09:58,"99",,"42412"
"504080","385178","118312",2021-08-06,2,,99,1,2021-10-07 15:51:19,2021-10-07 15:51:19,"420",,"42412"
"553253","385178","118312",2022-03-01,2,,99,3,2022-03-22 15:31:38,2022-03-22 15:31:38,"416",,"42412"
"508674","387497","90684",2021-10-20,,99,,1,2021-10-26 12:50:57,2021-10-26 12:50:57,"416",,"42412"
"546797","387497","90684",2022-02-24,,99,,3,2022-03-02 14:11:49,2022-03-02 14:11:49,"99",,"42412"
"510063","388073","122302",2021-10-27,,99,,1,2021-10-29 12:46:53,2021-10-29 12:46:53,"416",,"42412"
"645178","388073","122302",2022-12-09,,99,,3,2022-12-19 10:55:17,2022-12-19 10:55:17,"99",,"42412"
"511018","388462","122474",2021-10-21,,99,,1,2021-11-02 13:02:45,2021-11-02 13:02:45,"416",,"42412"
"592346","388462","122474",2022-06-28,,99,,3,2022-07-14 12:36:55,2022-07-14 12:36:55,"99",,"42412"
"514104","390006","117423",2021-11-12,,99,,1,2021-11-15 09:58:53,2021-11-15 09:58:53,"416",,"42412"
"634861","390006","117423",2022-11-04,,99,,3,2022-11-15 13:36:58,2022-11-15 13:36:58,"99",,"42412"
"517705","391737","119249",2021-11-29,,99,,1,2021-11-30 13:21:35,2021-11-30 13:21:35,"534",,"42412"
"561266","391737","119249",2022-03-29,,99,,3,2022-04-13 13:32:58,2022-12-21 10:17:02,"487",,"42412"
"519508","392692","95092",2021-12-06,,99,,1,2021-12-07 08:57:21,2022-09-29 11:59:17,"309",,"42412"
"532839","392692","95092",2022-01-06,,1,,3,2022-01-21 11:21:04,2022-01-21 11:21:04,"99",,"42412"
"523235","394460","125241",2021-12-20,2,,99,1,2021-12-20 15:34:44,2021-12-20 15:34:44,"416",,"42412"
"692655","394460","125241",2023-05-25,2,,99,3,2023-05-25 09:47:13,2023-05-25 09:47:13,"768",,"42412"
"523830","394785","120071",2021-12-22,,99,,1,2021-12-22 09:26:31,2021-12-22 09:26:31,"416",,"42412"
"645688","394785","120071",2022-09-09,,99,,3,2022-12-20 11:22:36,2022-12-20 11:22:36,"99",,"42412"
"525194","395393","83719",2021-12-22,,2,,1,2021-12-29 13:26:07,2021-12-29 13:26:07,"416",,"42412"
"532842","395393","83719",2022-01-19,,2,,3,2022-01-21 11:25:21,2022-01-21 11:25:21,"99",,"42412"
"526121","395807","125848",2022-01-03,,99,,1,2022-01-03 14:58:05,2022-01-03 14:58:05,"420",,"42412"
"553217","395807","125848",2022-02-14,,99,,3,2022-03-22 14:11:21,2022-03-22 14:11:21,"416",,"42412"
"529954","397562","122078",2022-01-12,,99,,1,2022-01-12 11:19:43,2022-01-12 11:19:43,"420",,"42412"
"638888","397562","122078",2022-11-17,,99,,3,2022-11-30 11:08:12,2022-11-30 11:08:12,"99",,"42412"
"530950","398045","122072",2022-01-13,2,,99,1,2022-01-14 15:13:21,2022-01-14 15:13:21,"420",,"42412"
"591165","398045","122072",2022-06-28,2,,99,3,2022-07-11 15:03:13,2022-07-11 15:03:13,"99",,"42412"
"532502","398731","126995",2022-01-14,,99,,1,2022-01-20 11:59:02,2022-01-20 11:59:02,"416",,"42412"
"602884","398731","126995",2022-06-27,,99,,3,2022-08-15 10:20:16,2022-08-15 10:20:16,"99",,"42412"
"534130","399508","5080",2021-12-27,,99,,1,2022-01-25 16:01:40,2022-01-25 16:01:40,"416",,"42412"
"536503","399508","5080",2022-01-28,,99,,3,2022-02-01 15:09:17,2022-02-01 15:09:17,"99",,"42412"
"537341","400940","95094",2022-01-17,,99,,1,2022-02-03 11:54:00,2022-02-03 11:54:00,"416",,"42412"
"580923","400940","95094",2022-05-29,,99,,3,2022-06-08 17:08:39,2022-06-08 17:08:39,"99",,"42412"
"539612","402029","128225",2022-02-09,2,,99,1,2022-02-10 09:43:18,2022-02-10 09:43:18,"416",,"42412"
"569261","402029","128225",2022-04-25,2,,99,3,2022-05-03 14:25:14,2022-05-03 14:25:14,"99",,"42412"
"539842","402151","119447",2022-02-05,,99,,1,2022-02-10 14:10:57,2022-02-10 14:10:57,"416",,"42412"
"559481","402151","119447",2022-04-07,,99,,3,2022-04-07 13:13:11,2022-04-07 13:13:11,"99",,"42412"
"540950","402576","3202",2022-01-03,2,,99,1,2022-02-14 13:36:35,2022-02-14 13:36:35,"416",,"42412"
"645301","402576","3202",2022-10-19,2,,99,3,2022-12-19 12:58:27,2022-12-19 12:58:27,"99",,"42412"
"543890","403952","89036",2022-02-19,,99,,1,2022-02-22 10:42:00,2022-02-22 10:42:00,"416",,"42412"
"559477","403952","89036",2022-04-05,,99,,3,2022-04-07 13:07:21,2022-04-07 13:07:21,"99",,"42412"
"546862","405414","129126",2022-02-23,,99,,1,2022-03-02 15:12:47,2022-03-02 15:12:47,"416",,"42412"
"569206","405414","129126",2022-04-20,,99,,3,2022-05-03 13:34:34,2022-05-03 13:34:34,"99",,"42412"
"547263","405593","111946",2022-02-21,,99,,1,2022-03-03 13:41:34,2022-03-03 13:41:34,"534",,"42412"
"553489","405593","111946",2022-02-21,,99,,3,2022-03-23 11:38:40,2022-03-23 11:38:40,"259",,"42412"
"550983","407314","116703",2022-03-15,,2,,1,2022-03-15 15:04:35,2022-03-15 15:04:35,"416",,"42412"
"562528","407314","116703",2022-04-09,,2,,3,2022-04-19 10:31:08,2022-04-19 10:31:08,"99",,"42412"
"554529","408904","130876",2022-03-24,,99,,1,2022-03-25 14:24:09,2022-03-25 14:24:09,"416",,"42412"
"610344","408904","130876",2022-08-04,,99,,3,2022-09-06 15:01:04,2022-09-06 15:01:04,"99",,"42412"
"554551","408912","5080",2022-03-24,,99,,1,2022-03-25 15:06:44,2022-03-25 15:06:44,"416",,"42412"
"600608","408912","5080",2022-07-23,,99,,3,2022-08-08 14:24:21,2022-08-08 14:24:21,"99",,"42412"
"556488","409610","1505",2022-03-30,,99,,1,2022-03-30 16:21:32,2022-03-30 16:21:32,"416",,"42412"
"591159","409610","1505",2022-06-03,,99,,3,2022-07-11 14:51:22,2022-07-11 14:51:22,"99",,"42412"
